,team,year,non_fb_o_rating,non_fb_d_rating,o_half_court_dff,d_half_court_dff
10,LAL,2009,1.0541573033707865,0.9917977528089887,0.020000000000000018,0.040000000000000036
11,MEM,2009,1.0347727272727272,1.0572727272727274,0.07000000000000006,0.030000000000000027
12,OKC,2009,1.0360919540229885,1.0125,0.050000000000000044,0.040000000000000036
13,GSW,2009,1.0342528735632184,1.0621348314606742,0.050000000000000044,0.050000000000000044
14,BOS,2009,1.032093023255814,0.9962499999999999,0.020000000000000018,0.06000000000000005
15,NOH,2009,1.02875,1.0538636363636364,0.08000000000000007,0.050000000000000044
16,HOU,2009,1.0314606741573034,1.0438636363636364,0.040000000000000036,0.040000000000000036
17,NYK,2009,1.034831460674157,1.075,0.040000000000000036,0.07000000000000006
18,MIA,2009,1.0268181818181819,1.0119318181818182,0.06000000000000005,0.030000000000000027
19,PHI,2009,1.020344827586207,1.061590909090909,0.050000000000000044,0.030000000000000027
20,DET,2009,1.0162499999999999,1.0735955056179776,0.050000000000000044,0.050000000000000044
21,SAC,2009,0.9991011235955055,1.0657954545454547,0.06000000000000005,0.06000000000000005
22,MIL,2009,1.0119318181818182,0.9857954545454545,0.030000000000000027,0.020000000000000018
23,CHA,2009,0.998139534883721,0.9830232558139534,0.040000000000000036,0.050000000000000044
24,WAS,2009,1.0026666666666666,1.0557303370786517,0.050000000000000044,0.040000000000000036
25,IND,2009,1.0035955056179775,1.0268181818181819,0.040000000000000036,0.040000000000000036
26,LAC,2009,1.001111111111111,1.0580459770114943,0.050000000000000044,0.040000000000000036
27,CHI,2009,1.0007865168539327,1.0139772727272727,0.040000000000000036,0.020000000000000018
28,MIN,2009,0.9852808988764044,1.0662068965517242,0.030000000000000027,0.07000000000000006
29,NJN,2009,0.9587499999999999,1.058409090909091,0.050000000000000044,0.030000000000000027
0,DEN,2010,1.0880898876404494,1.0376404494382023,0.030000000000000027,0.030000000000000027
1,SAS,2010,1.0721348314606742,1.0114606741573033,0.040000000000000036,0.06000000000000005
2,MIA,2010,1.0641573033707865,0.9949999999999998,0.07000000000000006,0.07000000000000006
3,HOU,2010,1.0614606741573034,1.0572222222222223,0.040000000000000036,0.040000000000000036
4,LAL,2010,1.0749438202247192,1.0070454545454546,0.040000000000000036,0.050000000000000044
5,OKC,2010,1.064022988505747,1.031123595505618,0.030000000000000027,0.030000000000000027
