,TEAM_ID,TEAM_NAME,Total_POSS,Total_PTS,PPP,SC_REMAINING,SCALED_PPP
162,1610612744,Golden State Warriors,770.0,407.0,0.5285714285714286,4-0,0.907014313985396
163,1610612745,Houston Rockets,840.0,448.0,0.5333333333333333,4-0,0.9151856141113905
164,1610612746,LA Clippers,893.0,451.0,0.5050391937290034,4-0,0.8666336337434991
165,1610612747,Los Angeles Lakers,788.0,446.0,0.565989847715736,4-0,0.9712233119297593
166,1610612748,Miami Heat,823.0,459.0,0.5577156743620899,4-0,0.957025053638658
167,1610612749,Milwaukee Bucks,669.0,378.0,0.5650224215246636,4-0,0.9695632346807893
168,1610612750,Minnesota Timberwolves,753.0,416.0,0.5524568393094289,4-0,0.9480010345376954
169,1610612751,Brooklyn Nets,986.0,533.0,0.5405679513184585,4-0,0.9276000234305994
170,1610612752,New York Knicks,881.0,512.0,0.5811577752553916,4-0,0.9972510664550907
171,1610612753,Orlando Magic,972.0,490.0,0.5041152263374485,4-0,0.8650481306222634
172,1610612754,Indiana Pacers,748.0,427.0,0.570855614973262,4-0,0.9795728372967005
173,1610612755,Philadelphia 76ers,916.0,465.0,0.50764192139738,4-0,0.8710998442176514
174,1610612756,Phoenix Suns,926.0,596.0,0.6436285097192225,4-0,1.1044491617380983
175,1610612757,Portland Trail Blazers,724.0,368.0,0.5082872928176796,4-0,0.872207284166933
176,1610612758,Sacramento Kings,702.0,396.0,0.5641025641025641,4-0,0.9679847841562784
177,1610612759,San Antonio Spurs,689.0,429.0,0.6226415094339622,4-0,1.0684360353423072
178,1610612760,Oklahoma City Thunder,595.0,357.0,0.6,4-0,1.0295838158753143
179,1610612761,Toronto Raptors,782.0,427.0,0.5460358056265985,4-0,0.9369827139359745
180,1610612762,Utah Jazz,820.0,453.0,0.552439024390244,4-0,0.9479704646169054
181,1610612763,Memphis Grizzlies,653.0,330.0,0.5053598774885145,4-0,0.8671839184248437
182,1610612764,Washington Wizards,631.0,279.0,0.4421553090332805,4-0,0.7587265838066897
183,1610612765,Detroit Pistons,725.0,410.0,0.5655172413793104,4-0,0.9704123322043193
184,1610612766,Charlotte Hornets,813.0,445.0,0.5473554735547356,4-0,0.9392472285045407
185,0,Overall,763.2666666666667,419.46666666666664,0.5501388006848239,4-0,0.9440233427835836
